config_id,model_valid,segment_start,segment_end,W,method,panel_builder,panel_width,number_of_panels,topology_tile_rows,rho_residual,escape_enabled,total_nnz,dense_panel_slots,dense_panel_true_nnz,dense_panel_holes,residual_nnz,panel_feature_metadata_bits,row_list_metadata_bits,residual_metadata_bits,descriptor_bits,dense_value_bytes,residual_value_bytes,total_transfer_bytes,byte_ratio_to_dense,byte_ratio_to_R0,byte_ratio_to_phase0,byte_ratio_to_phase2_anchor,regular_scalesim_cycles,residual_cycles,gather_cycles,decoder_cycles,output_init_cycles,output_add_cycles,weight_pack_cycles,total_hybrid_cycles,hybrid_speedup_vs_dense,independently_decodable,deployable,exact_decode_pass,numeric_equivalence_pass
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P3_COST_AWARE,4,32,128,1.5,True,2116594,0,0,0,2116594,2048,6944,4105552,32736,0,8733952,9252416,0.5133259004658561,0.7915430185828013,0.6813799478759043,0.5879426774189558,0.0,3174891.0,0.0,72808.0,140816,2899020,512,3263187.0,0.6376925380004272,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P4_FIXED_BSR,4,32,128,1.5,True,2116594,0,0,0,2116594,2048,6944,4471841,32736,0,8740864,9305152,0.5162517043517783,0.7960545767129138,0.6852636094980346,0.591293774584968,0.0,3174891.0,0.0,79071.0,140816,3960180,512,3266634.0,0.6370196355024774,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P0_CONTIGUOUS,8,16,128,1.5,True,2116594,0,0,0,2116594,2048,3472,4511384,16384,0,8602240,9168960,0.5086957448017271,0.7844033683380602,0.6752339590952516,0.5826394848164316,0.0,3174891.0,0.0,75143.0,140816,2106172,512,3263762.0,0.6375801912026674,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P1_DENSITY_SORTED,8,16,128,1.5,True,2116594,0,0,0,2116594,2048,3472,4190835,16384,0,8602816,9129472,0.5065049426201568,0.7810251749323813,0.6723259260602342,0.5801302288074152,0.0,3174891.0,0.0,69858.0,140816,1921296,512,3258477.0,0.6386142974156331,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P2_CORRELATION,8,16,128,1.5,True,2116594,0,0,0,2116594,2048,3472,4181931,16384,0,8602112,9127616,0.5064019713668901,0.7808663943671226,0.6721892437944068,0.5800122897081259,0.0,3174891.0,0.0,69644.0,140816,1705076,512,3258263.0,0.6386562410707791,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_NO_ESCAPE,P3_COST_AWARE,8,16,128,1.5,False,2116594,0,0,0,2116594,2048,3472,4179136,11808,0,8603008,9127680,0.5064055220997614,0.7808718695590281,0.672193956975987,0.5800163565736187,0.0,3174891.0,0.0,69588.0,140816,1681572,512,3258207.0,0.638667217890085,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P3_COST_AWARE,8,16,128,1.5,True,2116594,0,0,0,2116594,2048,3472,4179136,16384,0,8603008,9128192,0.5064339279627315,0.7809156710942718,0.6722316624286291,0.5800488914975606,0.0,3174891.0,0.0,69588.0,140816,1681572,512,3258207.0,0.638667217890085,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P4_FIXED_BSR,8,16,128,1.5,True,2116594,0,0,0,2116594,2048,3472,4511384,16384,0,8602240,9168960,0.5086957448017271,0.7844033683380602,0.6752339590952516,0.5826394848164316,0.0,3174891.0,0.0,75143.0,140816,2106172,512,3262002.0,0.6379241950188872,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P0_CONTIGUOUS,16,8,128,1.5,True,2116594,0,0,0,2116594,2048,1736,4510498,8208,0,8532800,9098240,0.5047721849789797,0.7783532812825089,0.6700258934490697,0.5781455984469613,0.0,3174891.0,0.0,72868.0,140816,985692,512,3260607.0,0.6381971209655135,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P1_DENSITY_SORTED,16,8,128,1.5,True,2116594,777504,627497,150007,1489097,2048,5336,3486526,8208,3110016,6019328,9567232,0.5307919554596069,0.8184754875658392,0.7045640880691793,0.6079475887777107,637182.0,2233645.5,24323.0,56606.0,140816,944812,512,3159010.5,0.6587220903507601,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P2_CORRELATION,16,8,128,1.5,True,2116594,803504,708240,95264,1408354,2048,6176,3644640,8208,3214016,5702016,9373824,0.5200616407226452,0.8019294576274898,0.6903208533336483,0.5956575212586708,708149.0,2112531.0,25116.0,58978.0,140816,904284,512,3118535.0,0.6672716515928152,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_NO_ESCAPE,P3_COST_AWARE,16,8,128,1.5,False,2116594,803504,708240,95264,1408354,2048,6176,3644640,5920,3214016,5702016,9373504,0.5200438870582889,0.8019020816679625,0.690297287425747,0.5956371869312072,708149.0,2112531.0,25116.0,58978.0,140816,904284,512,3118535.0,0.6672716515928152,True,True,True,True
