config_id,segment_start,W,panel_builder,panel_width,mean_within_panel_jaccard,median_within_panel_jaccard,mean_cross_panel_jaccard,panel_similarity_separation,mean_selected_rows_per_panel,mean_row_panel_occupancy,p10_row_panel_occupancy,p50_row_panel_occupancy,p90_row_panel_occupancy,dense_nnz_capture,padding_fraction,residual_fraction,cost_before_swaps,cost_after_swaps,accepted_swaps
cora_deepres28_w128,4,13,P2_CORRELATION,4,0.5583090665695557,0.6065996396198796,0.27980698523216924,0.27850208133738646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3263219.0,3263219.0,0
cora_deepres28_w128,4,13,P3_COST_AWARE,4,0.5615840636717189,0.6157927672763542,0.2797277514313105,0.28185631224040836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3263219.0,3263187.0,1
cora_deepres28_w128,4,13,P3_COST_AWARE,4,0.5615840636717189,0.6157927672763542,0.2797277514313105,0.28185631224040836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3263219.0,3263187.0,1
cora_deepres28_w128,4,13,P4_FIXED_BSR,4,0.2955390548862431,0.27592458243077195,0.2861643242245075,0.009374730661735609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3266634.0,3266634.0,0
cora_deepres28_w128,4,13,P0_CONTIGUOUS,8,0.283683493382362,0.2613721196955479,0.2865434076235093,-0.0028599142411473433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3263762.0,3263762.0,0
cora_deepres28_w128,4,13,P1_DENSITY_SORTED,8,0.3569075813992786,0.3475030760248726,0.2822720024891892,0.07463557891008937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3258477.0,3258477.0,0
cora_deepres28_w128,4,13,P2_CORRELATION,8,0.5107148510581949,0.5634471789215006,0.27329991175908575,0.23741493929910917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3258263.0,3258263.0,0
cora_deepres28_w128,4,13,P3_COST_AWARE,8,0.5167233119717326,0.5663375217803343,0.27294941820579605,0.24377389376593656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3258263.0,3258207.0,2
cora_deepres28_w128,4,13,P3_COST_AWARE,8,0.5167233119717326,0.5663375217803343,0.27294941820579605,0.24377389376593656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3258263.0,3258207.0,2
cora_deepres28_w128,4,13,P4_FIXED_BSR,8,0.283683493382362,0.2613721196955479,0.2865434076235093,-0.0028599142411473433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3262002.0,3262002.0,0
cora_deepres28_w128,4,13,P0_CONTIGUOUS,16,0.283838566231771,0.2629997821629436,0.286726918526974,-0.0028883522952030116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3260607.0,3260607.0,0
cora_deepres28_w128,4,13,P1_DENSITY_SORTED,16,0.35710998773132346,0.3426818416918683,0.2769137817189983,0.08019620601232519,21.238636363636363,0.1374546867897597,0.0,0.0,0.7928069526627219,0.2964654534596621,0.1929340556447298,0.7035345465403379,3159010.5,3159010.5,0
